Date,Open,High,Low,Close,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-02,24.671154616541337,24.682229515795985,23.77635716808021,24.21489715576172,212818400
2015-01-05,23.984549003434232,24.064283533005238,23.34667445665828,23.5327205657959,257142000
2015-01-06,23.596956102061053,23.794077149066176,23.173919944915667,23.534940719604492,263188400
2015-01-07,23.743131155489024,23.964615594214823,23.632388936126123,23.864948272705078,160423600
2015-01-08,24.192748794463913,24.8394830250832,24.075360608884285,24.781896591186523,237458000
2015-01-09,24.95465820033648,25.083119615839795,24.409806533310572,24.80847930908203,214798000
2015-01-12,24.939148543547873,24.945792806630894,24.09750865378446,24.197175979614258,198603200
2015-01-13,24.680006107009795,24.983440335311546,24.1218661772764,24.412010192871094,268367600
2015-01-14,24.1506639642499,24.471815731969652,24.031062161775676,24.318992614746094,195826400
2015-01-15,24.363288563314725,24.376577089070306,23.623531339856147,23.658967971801758,240056000
2015-01-16,23.705472124059003,23.827289204880216,23.30015531673568,23.475128173828125,314053200
2015-01-20,23.884882714319932,24.135161228870494,23.58809435698492,24.079790115356445,199599600
2015-01-21,24.130730261496435,24.59806258830847,23.98012076721873,24.263622283935547,194303600
2015-01-22,24.420875112620685,24.91035552795961,24.301273310849446,24.894851684570312,215185600
2015-01-23,24.872700239309875,25.193851962029953,24.702156295129555,25.0233097076416,185859200
2015-01-26,25.191636592238247,25.328957536245927,24.983442393649014,25.04988670349121,222460000
2015-01-27,24.89928019685748,24.912570412240157,24.148448084734664,24.17281150817871,382274800
2015-01-28,26.05321340320937,26.161741992686807,25.539369583129883,25.539369583129883,585908400
2015-01-29,25.763063519913857,26.398724311321256,25.594734914666734,26.33449363708496,337745600
2015-01-30,26.2237598190242,26.57813460918825,25.8804582377386,25.949119567871094,334982000
2015-02-02,26.146236669694193,26.39429814064602,25.709912088376672,26.274696350097656,250956400
2015-02-03,26.24590602450807,26.376581032432806,26.048785008958852,26.279129028320312,207662800
2015-02-04,26.245899926220257,26.691084018363664,26.20381735184991,26.48067283630371,280598800
2015-02-05,26.687468941440304,26.734165723731444,26.51625362672937,26.669681549072266,168984800
2015-02-06,26.68747269934462,26.738615912814105,26.338369840108527,26.44510269165039,174826400
2015-02-09,26.36060659155632,26.64744762610821,26.33392295502217,26.620765686035156,155559200
2015-02-10,26.72082395138966,27.16109458407621,26.71860158755748,27.132186889648438,248034000
2015-02-11,27.298954645058252,27.77702580044334,27.23891859134053,27.768131256103516,294247200
2015-02-12,28.030515402030247,28.34626580003288,27.92156019868773,28.11945915222168,297898000
2015-02-13,28.301797159379046,28.301797159379046,27.93935331840626,28.257326126098633,217088800
2015-02-17,28.3484904589152,28.657570397556903,28.221746155981133,28.42409324645996,252609600
2015-02-18,28.379618524414152,28.635331172766996,28.339593921224484,28.621990203857422,179566800
2015-02-19,28.568630706606225,28.69092860974826,28.535278275259678,28.561960220336914,149449600
2015-02-20,28.599756429130103,28.795433044433594,28.47301381634293,28.795433044433594,195793600
2015-02-23,28.911053489241137,29.573680877685547,28.83100429250197,29.573680877685547,283896400
2015-02-24,29.56033900121596,29.707096422877633,29.16676351327653,29.389122009277344,276912400
2015-02-25,29.25348241424081,29.2623786538806,28.495239148710304,28.637548446655273,298846800
2015-02-26,28.637563916361643,29.100070232754092,28.152823774701833,29.000009536743164,365150000
2015-02-27,28.906607182415925,29.0333531655874,28.515257414321187,28.564176559448242,248059200
2015-03-02,28.739841868545096,28.968870897881935,28.528601929913908,28.70426368713379,192386800
2015-03-03,28.675357338437337,28.799877571574093,28.4819031113867,28.764299392700195,151265200
2015-03-04,28.706490037661048,28.808773070180983,28.53305064084708,28.581966400146484,126665200
2015-03-05,28.590862676575895,28.628663222806804,27.963811635398883,28.10834503173828,226068400
2015-03-06,28.550837186219347,28.76652525661798,28.074991709340917,28.150592803955078,291368400
2015-03-09,28.45300006693993,28.810999167291815,27.8081599278314,28.270666122436523,354114000
2015-03-10,28.108345078545167,28.288454960913256,27.5279891281801,27.685863494873047,275426400
2015-03-11,27.739230852600457,27.7436772774365,27.152204379492783,27.181110382080078,275756000
2015-03-12,27.1966669192814,27.772576302192864,27.045463075163788,27.672513961791992,193450800
2015-03-13,27.661402386110844,27.883760923464692,27.256709915985283,27.481290817260742,207309200
2015-03-16,27.54576790043277,27.78369140625,27.321187057012974,27.78369140625,143497200
2015-03-17,27.99493975184684,28.310688462772674,27.93935011838267,28.248428344726562,204092400
2015-03-18,28.23952944743159,28.719824620838658,28.099444203418223,28.566396713256836,261083600
2015-03-19,28.62866382972867,28.739843106737325,28.328480121097527,28.35071563720703,183238000
2015-03-20,28.517480077372603,28.55083249807218,27.830393067587416,27.994937896728516,274780400
2015-03-23,28.266212914688467,28.428533668429854,28.132796458539584,28.286224365234375,150838800
2015-03-24,28.290676608620394,28.470784779166674,28.14169510373466,28.170602798461914,131369200
2015-03-25,28.13724692829372,28.19950704158356,27.434593200683594,27.434593200683594,206620800
2015-03-26,27.296738061353363,27.768137135955826,27.26115987646045,27.62582778930664,190291600
2015-03-27,27.699206291262012,27.728112293899432,27.33009195662695,27.40569305419922,158184800
2015-03-30,27.58358490490683,28.106127273650465,27.572466296364027,28.099456787109375,188398800
2015-03-31,28.037195685650122,28.12613946692816,27.652516249080296,27.668081283569336,168362400
2015-04-01,27.7547941561649,27.82150239978064,27.37233717855166,27.628049850463867,162485600
2015-04-02,27.801488337926436,27.91933809418971,27.614707976255076,27.8659725189209,128880400
2015-04-06,27.676969799655623,28.35294001500725,27.645839737461767,28.31736183166504,148776000
2015-04-07,28.381856970648293,28.48858816894569,28.012742506548907,28.019412994384766,140049200
2015-04-08,27.983825650100826,28.106123541988197,27.788150719542283,27.92823600769043,149316800
2015-04-09,27.983824463106682,28.14614695850273,27.719218930050666,28.141698837280273,129936000
2015-04-10,28.006059476821086,28.286231732662372,27.852633226625628,28.26177215576172,160752000
2015-04-13,28.54416287801489,28.588637297522965,28.15281309396547,28.206178665161133,145460400
2015-04-14,28.239535497342878,28.304019679612928,27.997165495170943,28.083885192871094,102098400
2015-04-15,28.108341226599048,28.268437935397202,28.019397479626157,28.19061279296875,115881600
2015-04-16,28.0794350838232,28.261769011778117,28.041634540622283,28.054975509643555,113476000
2015-04-17,27.91711288227029,28.04830359485218,27.674741213157088,27.739225387573242,207828000
2015-04-20,27.921558277697777,28.48857146529368,27.83261453362563,28.37294578552246,188217200
2015-04-21,28.484123899873527,28.506357713100222,28.166149495147987,28.21951675415039,129740400
2015-04-22,28.237314290319635,28.655347790616638,28.088334455775946,28.59975814819336,150618000
2015-04-23,28.528598976335616,28.999997956003867,28.493020798607734,28.833229064941406,183083600
2015-04-24,29.0155650385736,29.046695096238576,28.73539112666703,28.968868255615234,178103600
2015-04-27,29.42025615391798,29.60259177459487,29.16231944838953,29.49585723876953,387816800
2015-04-28,29.898318374849186,29.916104064897528,28.810985701159467,29.031118392944336,475696000
2015-04-29,28.942186269320725,29.26015732972162,28.5285992793757,28.60420036315918,253544400
2015-04-30,28.60420550349986,28.60420550349986,27.701430277592415,27.828174591064453,332781600
2015-05-01,28.039412332804034,28.93551869889833,27.861526513744302,28.673133850097656,234050400
2015-05-04,28.795435527880013,29.033360832273065,28.519709672801845,28.6175479888916,203953200
2015-05-05,28.495250275782126,28.56195852744418,27.968261534204885,27.97270965576172,197085600
2015-05-06,28.14169178875812,28.183940447483725,27.430145252889186,27.79703712463379,288564000
2015-05-07,27.859563034667513,28.152070633388597,27.692097515406704,27.968975067138672,175763600
2015-05-08,28.286042868912773,28.495933532714844,28.15876914169282,28.495933532714844,222201600
2015-05-11,28.444569584617025,28.48252801753162,28.05158345169496,28.205652236938477,168143200
2015-05-12,28.044892198904186,28.330699748396363,27.8707283299041,28.105180740356445,192640000
2015-05-13,28.167708008605125,28.399927126820884,28.105187804383153,28.13644790649414,138776800
2015-05-14,28.449037217015196,28.792898178100586,28.393215389059556,28.792898178100586,180814000
2015-05-15,28.819695310810875,28.913475574026457,28.62766808410448,28.752708435058594,152832000
2015-05-18,28.665634557087365,29.18812620170231,28.66116785555959,29.06978416442871,203531600
2015-05-19,29.181426809390363,29.223851954649565,28.9469743904439,29.04298973083496,178532800
2015-05-20,29.027363340799653,29.24618404892048,28.879992832289595,29.040760040283203,145819600
2015-05-21,29.042992820868108,29.391320608548444,28.989402620034507,29.337730407714844,158921600
2015-05-22,29.384606689875003,29.69050916569965,29.339946509295952,29.594493865966797,182384000
2015-05-26,29.60791143604081,29.67712998685345,28.83086880906524,28.94251251220703,282790400
2015-05-27,29.10326898125325,29.531980234316904,29.038517156439617,29.48285675048828,183332800
2015-05-28,29.44266999162981,29.462765035348177,29.272972832850446,29.424806594848633,122933200
2015-05-29,29.30199463706332,29.35111812101568,29.005022086658286,29.089872360229492,203538000
2015-06-01,29.089872851775468,29.337721922416165,29.038517720264473,29.147926330566406,128451200
2015-06-02,28.99609679623413,29.17472736620968,28.87552312058011,29.0184268951416,134670400
2015-06-03,29.174734368769926,29.23725457220334,29.005033753368743,29.054157257080078,123934000
2015-06-04,28.93357440064891,29.156861744311495,28.783972289246318,28.884450912475586,153800400
2015-06-05,28.915713437081244,28.95813858108162,28.661165980173738,28.72591781616211,142507200
2015-06-08,28.781733462637305,28.850955392058644,28.319530493529204,28.53611946105957,210699200
2015-06-09,28.290505804225184,28.598643429224612,28.049356767393892,28.45127296447754,224301600
2015-06-10,28.56291015532612,28.87997770301906,28.547280112934125,28.777267456054688,156349200
2015-06-11,28.844255490920546,29.067542819658165,28.68795504222306,28.71251678466797,141563600
2015-06-12,28.623206555258715,28.654466648645087,28.382055803237584,28.39545249938965,147544800
2015-06-15,28.156538357669604,28.411085835312466,28.06945641550481,28.33963394165039,175955600
2015-06-16,28.364187099893485,28.547282628424973,28.21681835914717,28.4914608001709,125976400
2015-06-17,28.51825688943397,28.55398197492287,28.29943456545634,28.424476623535156,131672400
2015-06-18,28.408853976902844,28.650003051502733,28.406620626119764,28.55398941040039,141628800
2015-06-19,28.516028041358947,28.540589786812227,28.223522150021005,28.268178939819336,218867600
2015-06-22,28.466899214435166,28.594172915405483,28.375352301444522,28.493694305419922,136157200
2015-06-23,28.464671382295435,28.49369812375843,28.330697612965324,28.36419105529785,121075600
2015-06-24,28.404387694929415,28.982702900869484,28.384292648227373,28.6053466796875,221123600
2015-06-25,28.772808124768485,28.848725006243843,28.46913719177246,28.46913719177246,127752400
2015-06-26,28.50710170121939,28.578553600456058,28.248089205316834,28.301677703857422,176267200
2015-06-29,28.01363611863617,28.23915686253762,27.794815427504066,27.805978775024414,196645600
2015-06-30,28.03819712488202,28.161005869183608,27.879663284495695,28.00693702697754,177482800
2015-07-01,28.33516582806417,28.3440975267333,28.13197351632289,28.268178939819336,120955200
2015-07-02,28.230220949336946,28.288276139840534,28.082850474261843,28.232454299926758,108844000
2015-07-06,27.89751893772821,28.1855597914771,27.87742219262861,28.13420295715332,112241600
2015-07-07,28.109645880970817,28.167701072115218,27.636276059999904,28.06498908996582,187787200
2015-07-08,27.794805777354732,27.83053086198302,27.361627840237674,27.36832618713379,243046400
2015-07-09,27.65413987586442,27.70103001819271,26.620319986898956,26.81011390686035,314380000
2015-07-10,27.227655105975742,27.654132981909285,27.06465462023815,27.526859283447266,245418000
2015-07-13,27.91761835446566,28.080618876862893,27.759084533255947,28.058290481567383,165762000
2015-07-14,28.143136579806693,28.216821810967417,27.9198492394752,28.047122955322266,127072400
2015-07-15,28.07168695050287,28.390987940927992,28.040426856633054,28.317302703857422,134596800
2015-07-16,28.52272396471212,28.708054566907215,28.435642039525213,28.69465446472168,144889600
2015-07-17,28.821938811935887,28.94251251220703,28.65000655511081,28.94251251220703,184658800
2015-07-20,29.243941748870032,29.690516406826855,29.183653216059472,29.489559173583984,235600800
2015-07-21,29.663732944050157,29.67936129061938,29.09881608526313,29.194828033447266,307025600
2015-07-22,27.238824045015008,28.022563140520017,27.238824045015008,27.96004295349121,461802400
2015-07-23,28.17886115997897,28.377586753004575,27.92431373287769,27.946643829345703,203998000
2015-07-24,27.98237383910819,28.076154127998937,27.665306174640925,27.799278259277344,168649200
2015-07-27,27.484442462684633,27.60055285290327,27.26785513761631,27.41299057006836,177822000
2015-07-28,27.549198150634766,27.6675419008308,27.36387090769077,27.549198150634766,134472400
2015-07-29,27.49783731287758,27.57598754415561,27.30134335589593,27.46211051940918,148046800
2015-07-30,27.31250629295996,27.36832812577778,27.176300884600714,27.323671340942383,134513200
